タイムスタンプ,学籍番号,氏名,学年,調理担当ですか？,一緒に組みたいお友達,11月1日(準備日),11月2日(学祭1日目),11月3日(学祭2日目),11月4日(片付け)
2025/10/23 15:12:41,EEE2659176,中川樹,4年生,いいえ,ECK2626643,15:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/23 15:47:13,LWQ2361412,野口晴翔,3年生,はい,"CSA2692669,CSC2475598",00:00-00:00,10:00-15:00,15:00-19:00,00:00-00:00
2025/10/23 16:00:36,LTR2590168,橋本千尋,1年生,はい,"ECK2595640,arj2526255",11:00-15:00,13:00-18:00,13:00-18:00,00:00-00:00
2025/10/24 0:39:54,ECK2647386,林颯介,4年生,いいえ,"eee2659176,CSC2606801",15:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/24 0:53:04,BAM2240338,平野結菜,4年生,いいえ,ECK2626643,00:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/24 11:39:33,ARJ2440217,福田陽向,1年生,はい,ARH2348890,15:00-21:00,00:00-00:00,12:00-15:00,00:00-00:00
2025/10/24 13:28:40,EED2655876,藤田七海,4年生,いいえ,,10:00-21:00,10:00-20:00,10:00-20:00,10:00-15:00
2025/10/24 13:31:15,EED2655876,藤田七海,4年生,いいえ,,10:00-21:00,10:00-21:00,10:00-20:00,00:00-00:00
2025/10/24 17:07:57,CSC2475598,前田奏太,3年生,はい,"CSB2631692,LWQ2361412",10:00-21:00,14:00-15:00,15:00-19:00,8:00-15:00
2025/10/24 18:08:37,CSC2475598,前田奏太,3年生,はい,"csa2692669,CSB2631692,LWQ2361412",10:00-21:00,14:00-15:00,15:00-19:00,00:00-00:00
2025/10/24 21:22:12,MEG2470288,松井心春,2年生,いいえ,,00:00-00:00,00:00-00:00,12:00-20:00,00:00-00:00
2025/10/24 23:47:52,LTS2350845,三浦朝陽,2年生,いいえ,"ARJ2640159,meg2470288",00:00-00:00,00:00-00:00,13:00-15:00,00:00-00:00
2025/10/25 0:44:45,LTR2666809,佐藤あきか,3年生,はい,EED2349987,16:00-21:00,14:00-20:00,8:00-20:00,00:00-00:00
2025/10/25 3:23:07,EED2355008,宮本芽依,2年生,いいえ,ARJ2640159,00:00-00:00,00:00-00:00,13:00-15:00,00:00-00:00
2025/10/25 15:04:43,LWP2219285,山本きた,2年生,はい,,13:00-21:00,8:00-20:00,8:00-20:00,8:00-15:00
2025/10/25 15:23:16,ECL2314098,村上悠生,4年生,いいえ,,15:00-21:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/25 15:50:56,LTR2569911,森田咲良,2年生,はい,,00:00-00:00,"10:00-12:00,15:00-17:00","10:00-12:00,15:00-17:00",13:00-15:00
2025/10/25 20:57:40,LWQ2302746,山岸凌,4年生,いいえ,ECK2647386,00:00-00:00,00:00-00:00,14:00-16:00,00:00-00:00
2025/10/25 23:52:00,BAM2256750,吉岡杏奈,2年生,いいえ,LTS2350845,10:00-18:00,10:00-20:00,10:00-20:00,00:00-00:00
2025/10/26 11:42:50,LTR2300279,渡辺瑛太,3年生,はい,BAM2363060,00:00-00:00,00:00-00:00,13:00-20:00,00:00-00:00
2025/10/26 13:10:04,MEG2470606,中村虎之助,1年生,いいえ,,10:00-13:00,8:00-13:00,8:00-13:00,8:00-13:00
2025/10/27 3:11:57,LTR2666809,佐藤あきか,3年生,はい,"LTS2390333,EED2349987",00:00-00:00,14:00-20:00,12:00-20:00,00:00-00:00
2025/10/29 16:03:44,CSC2270795,岩田穂香,3年生,いいえ,"lts2390333,BAM2363060",00:00-00:00,00:00-00:00,15:00-20:00,00:00-00:00
2025/10/31 0:55:21,EED2402549,小林なんえい,3年生,はい,"CSB2272037,EED2386071",8:00-21:00,8:00-20:00,8:00-20:00,8:00-14:00
2025/10/31 1:31:33,ARJ2513243,長谷川蒼真,2年生,はい,,15:00-16:30,00:00-00:00,15:00-20:00,00:00-00:00
